object_type,schema,object_name,path,lines,module
view,admin_dashboard,moderation_queue,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/admin_dashboard/views/moderation_queue.sql,33,ADM
view,admin_dashboard,organization_stats_summary,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/admin_dashboard/views/organization_stats_summary.sql,16,ADM
view,admin_dashboard,recent_admin_actions,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/admin_dashboard/views/recent_admin_actions.sql,27,ADM
view,admin_dashboard,user_stats_summary,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/admin_dashboard/views/user_stats_summary.sql,22,ADM
function,audit_logging,log_audit_event,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/audit_logging/functions/log_audit_event.sql,73,AUD
unknown,audit_logging,01-policies,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/audit_logging/rls-policies/01-policies.sql,166,AUD
index,audit_logging,audit_logs,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/audit_logging/tables/01-audit_logs.sql,125,AUD
index,audit_logging,performance_metrics,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/audit_logging/tables/02-performance_metrics.sql,103,AUD
trigger,audit_logging,system_alerts,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/audit_logging/tables/03-system_alerts.sql,135,AUD
index,audit_logging,system_logs,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/audit_logging/tables/04-system_logs.sql,116,AUD
index,audit_logging,user_activity_logs,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/audit_logging/tables/05-user_activity_logs.sql,120,AUD
index,audit_logging,for,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/audit_logging/tables/06-user_activity.sql,25,AUD
trigger,audit_logging,trg_system_alerts_updated_at,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/audit_logging/triggers/01-trg_system_alerts_updated_at.sql,15,AUD
enum,auth,aal_level,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/auth/enums/aal_level.sql,6,AUTH
enum,auth,code_challenge_method,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/auth/enums/code_challenge_method.sql,6,AUTH
index,auth,users,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/auth/tables/01-users.sql,72,AUTH
function,auth_management,assign_role_to_user,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/auth_management/functions/01-assign_role_to_user.sql,100,AUTH
function,auth_management,get_user_role,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/auth_management/functions/02-get_user_role.sql,47,AUTH
function,auth_management,user_has_permission,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/auth_management/functions/03-verify_user_permission.sql,45,AUTH
function,auth_management,revoke_role_from_user,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/auth_management/functions/04-remove_role_from_user.sql,81,AUTH
function,auth_management,hash_token,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/auth_management/functions/05-hash_token.sql,28,AUTH
function,auth_management,update_user_preferences,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/auth_management/functions/06-update_user_preferences.sql,81,AUTH
index,auth_management,idx_user_preferences_theme,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/auth_management/indexes/01-idx_user_preferences_theme.sql,48,AUTH
index,auth_management,idx_user_roles_permissions_gin,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/auth_management/indexes/02-idx_user_roles_permissions_gin.sql,107,AUTH
unknown,auth_management,01-policies,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/auth_management/rls-policies/01-policies.sql,305,AUTH
trigger,auth_management,tenants,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/auth_management/tables/01-tenants.sql,58,AUTH
index,auth_management,auth_attempts,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/auth_management/tables/02-auth_attempts.sql,41,AUTH
trigger,auth_management,profiles,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/auth_management/tables/03-profiles.sql,114,AUTH
trigger,auth_management,user_roles,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/auth_management/tables/04-roles.sql,61,AUTH
trigger,auth_management,auth_providers,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/auth_management/tables/05-auth_providers.sql,172,AUTH
index,auth_management,email_verification_tokens,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/auth_management/tables/06-email_verification_tokens.sql,43,AUTH
index,auth_management,password_reset_tokens,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/auth_management/tables/07-password_reset_tokens.sql,44,AUTH
index,auth_management,security_events,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/auth_management/tables/08-security_events.sql,50,AUTH
trigger,auth_management,user_preferences,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/auth_management/tables/09-user_preferences.sql,79,AUTH
trigger,auth_management,memberships,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/auth_management/tables/10-memberships.sql,60,AUTH
index,auth_management,user_sessions,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/auth_management/tables/11-user_sessions.sql,60,AUTH
index,auth_management,for,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/auth_management/tables/12-user_suspensions.sql,33,AUTH
trigger,auth_management,trg_memberships_updated_at,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/auth_management/triggers/02-trg_memberships_updated_at.sql,15,AUTH
trigger,auth_management,trg_audit_profile_changes,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/auth_management/triggers/03-trg_audit_profile_changes.sql,15,AUTH
trigger,auth_management,trg_initialize_user_stats,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/auth_management/triggers/04-trg_initialize_user_stats.sql,15,AUTH
trigger,auth_management,trg_profiles_updated_at,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/auth_management/triggers/05-trg_profiles_updated_at.sql,15,AUTH
trigger,auth_management,trg_tenants_updated_at,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/auth_management/triggers/06-trg_tenants_updated_at.sql,15,AUTH
trigger,auth_management,trg_user_roles_updated_at,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/auth_management/triggers/07-trg_user_roles_updated_at.sql,15,AUTH
index,content_management,idx_marie_content_grade_levels_gin,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/content_management/indexes/01-idx_marie_content_grade_levels_gin.sql,26,CNT
index,content_management,idx_marie_content_keywords_gin,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/content_management/indexes/02-idx_marie_content_keywords_gin.sql,26,CNT
unknown,content_management,01-policies,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/content_management/rls-policies/01-policies.sql,119,CNT
trigger,content_management,content_templates,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/content_management/tables/01-content_templates.sql,90,CNT
trigger,content_management,marie_curie_content,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/content_management/tables/02-marie_curie_content.sql,89,CNT
trigger,content_management,media_files,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/content_management/tables/03-media_files.sql,125,CNT
index,content_management,content_versions,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/content_management/tables/04-content_versions.sql,44,CNT
index,content_management,for,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/content_management/tables/05-flagged_content.sql,45,CNT
trigger,content_management,trg_content_templates_updated_at,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/content_management/triggers/08-trg_content_templates_updated_at.sql,15,CNT
trigger,content_management,trg_marie_curie_content_updated_at,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/content_management/triggers/09-trg_marie_curie_content_updated_at.sql,15,CNT
trigger,content_management,trg_media_files_updated_at,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/content_management/triggers/10-trg_media_files_updated_at.sql,15,CNT
function,educational_content,calculate_learning_path,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/educational_content/functions/calculate_learning_path.sql,99,EDU
function,educational_content,get_recommended_missions,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/educational_content/functions/get_recommended_missions.sql,73,EDU
unknown,educational_content,01-enable-rls,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/educational_content/rls-policies/01-enable-rls.sql,23,EDU
unknown,educational_content,02-modules-exercises-policies,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/educational_content/rls-policies/02-modules-exercises-policies.sql,142,EDU
trigger,educational_content,modules,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/educational_content/tables/01-modules.sql,132,EDU
trigger,educational_content,exercises,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/educational_content/tables/02-exercises.sql,129,EDU
trigger,educational_content,assessment_rubrics,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/educational_content/tables/03-assessment_rubrics.sql,78,EDU
trigger,educational_content,media_resources,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/educational_content/tables/04-media_resources.sql,88,EDU
trigger,educational_content,trg_assessment_rubrics_updated_at,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/educational_content/triggers/11-trg_assessment_rubrics_updated_at.sql,15,EDU
trigger,educational_content,trg_exercises_updated_at,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/educational_content/triggers/12-trg_exercises_updated_at.sql,15,EDU
trigger,educational_content,trg_media_resources_updated_at,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/educational_content/triggers/13-trg_media_resources_updated_at.sql,15,EDU
trigger,educational_content,trg_modules_updated_at,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/educational_content/triggers/14-trg_modules_updated_at.sql,15,EDU
enum,gamification_system,maya_rank,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/gamification_system/enums/maya_rank.sql,54,GAM
enum,gamification_system,transaction_type,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/gamification_system/enums/transaction_type.sql,114,GAM
function,gamification_system,update_missions_updated_at,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/gamification_system/functions/06-update_missions_updated_at.sql,18,GAM
function,gamification_system,update_notifications_updated_at,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/gamification_system/functions/07-update_notifications_updated_at.sql,18,GAM
function,gamification_system,recalculate_level_on_xp_change,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/gamification_system/functions/08-recalculate_level_on_xp_change.sql,29,GAM
function,gamification_system,apply_xp_boost,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/gamification_system/functions/apply_xp_boost.sql,51,GAM
function,gamification_system,award_ml_coins,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/gamification_system/functions/award_ml_coins.sql,92,GAM
function,gamification_system,calculate_level_from_xp,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/gamification_system/functions/calculate_level_from_xp.sql,22,GAM
function,gamification_system,calculate_user_rank,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/gamification_system/functions/calculate_user_rank.sql,67,GAM
function,gamification_system,check_and_grant_achievements,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/gamification_system/functions/check_and_award_achievements.sql,112,GAM
function,gamification_system,claim_achievement_reward,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/gamification_system/functions/claim_achievement_reward.sql,91,GAM
function,gamification_system,consume_comodin,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/gamification_system/functions/consume_comodin.sql,139,GAM
function,gamification_system,get_user_comodines,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/gamification_system/functions/get_user_comodines.sql,49,GAM
function,gamification_system,get_user_rank_progress,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/gamification_system/functions/get_user_current_rank.sql,85,GAM
function,gamification_system,get_user_inventory_summary,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/gamification_system/functions/get_user_inventory.sql,62,GAM
function,gamification_system,get_user_inventory_summary,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/gamification_system/functions/get_user_inventory_summary.sql,62,GAM
function,gamification_system,get_user_rank_progress,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/gamification_system/functions/get_user_rank_progress.sql,85,GAM
function,gamification_system,get_user_rank_requirements,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/gamification_system/functions/get_user_rank_requirements.sql,53,GAM
function,gamification_system,check_and_grant_achievements,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/gamification_system/functions/grant_achievement.sql,112,GAM
function,gamification_system,process_exercise_completion,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/gamification_system/functions/process_exercise_completion.sql,68,GAM
function,gamification_system,consume_comodin,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/gamification_system/functions/redeem_comodin.sql,139,GAM
function,gamification_system,update_leaderboard_coins,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/gamification_system/functions/update_leaderboard_coins.sql,53,GAM
function,gamification_system,update_leaderboard_global,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/gamification_system/functions/update_leaderboard_global.sql,77,GAM
function,gamification_system,update_leaderboard_streaks,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/gamification_system/functions/update_leaderboard_streaks.sql,88,GAM
function,gamification_system,update_user_rank,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/gamification_system/functions/update_user_rank.sql,86,GAM
index,gamification_system,idx_achievement_categories_active,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/gamification_system/indexes/01-idx_achievement_categories_active.sql,109,GAM
index,gamification_system,idx_achievements_metadata_gin,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/gamification_system/indexes/01-idx_achievements_metadata_gin.sql,30,GAM
