Schema,Object Type,Inventory Count,DDL Count,Gap,Gap %,Priority,Status,Action Required
auth,Tables,1,1,0,0%,LOW,✅ OK,None
auth,Enums,0,2,+2,N/A,LOW,ℹ️ Extra,Document in inventory
auth_management,Tables,11,12,+1,+9%,MEDIUM,⚠️ Names differ,Update inventory with real names
auth_management,Functions,6,6,0,0%,MEDIUM,⚠️ Names differ,Update inventory with real names
auth_management,Triggers,0,6,+6,N/A,LOW,ℹ️ Extra,Document in inventory
educational_content,Tables,12,4,-8,-67%,CRITICAL,❌ Incomplete,Create 8 missing tables
educational_content,Functions,3,2,-1,-33%,MEDIUM,⚠️ Different,Align functionality
educational_content,Triggers,0,4,+4,N/A,LOW,ℹ️ Extra,Document in inventory
gamification_system,Tables,12,13,+1,+8%,LOW,⚠️ Names differ,Update inventory
gamification_system,Functions,8,19,+11,+138%,LOW,✅ Superior,Update inventory with new functions
gamification_system,Enums,0,2,+2,N/A,LOW,ℹ️ Extra,Document in inventory
gamification_system,Materialized Views,0,4,+4,N/A,LOW,✅ Extra,Document in inventory
gamification_system,Triggers,0,7,+7,N/A,LOW,ℹ️ Extra,Document in inventory
progress_tracking,Tables,11,5,-6,-55%,HIGH,❌ Incomplete,Create 6 missing tables
progress_tracking,Functions,6,5,-1,-17%,MEDIUM,⚠️ Different,Align functionality
progress_tracking,Views,0,1,+1,N/A,LOW,ℹ️ Extra,Document in inventory
progress_tracking,Triggers,0,3,+3,N/A,LOW,ℹ️ Extra,Document in inventory
admin_dashboard,Tables,9,0,-9,-100%,HIGH,❌ Empty,Create tables or consolidate with audit_logging
admin_dashboard,Functions,3,0,-3,-100%,MEDIUM,❌ Missing,Create functions
admin_dashboard,Views,0,4,+4,N/A,LOW,✅ Extra,Document in inventory
content_management,Tables,7,5,-2,-29%,HIGH,⚠️ Names differ,Create missing tables
content_management,Functions,3,0,-3,-100%,MEDIUM,❌ Missing,Create functions
content_management,Triggers,0,3,+3,N/A,LOW,ℹ️ Extra,Document in inventory
social_features,Tables,10,7,-3,-30%,HIGH,⚠️ Incomplete,Create 3 missing tables
social_features,Functions,3,1,-2,-67%,MEDIUM,⚠️ Different,Create missing functions
social_features,Triggers,0,5,+5,N/A,LOW,ℹ️ Extra,Document in inventory
storage,Tables,5,0,-5,-100%,HIGH,❌ Empty,Decide: Use Supabase Storage or create tables
storage,Enums,0,1,+1,N/A,LOW,ℹ️ Extra,Document in inventory
audit_logging,Tables,6,6,0,0%,LOW,⚠️ Names differ,Update inventory with real names
audit_logging,Functions,2,1,-1,-50%,MEDIUM,⚠️ Missing,Create cleanup_old_logs
audit_logging,Triggers,0,1,+1,N/A,LOW,ℹ️ Extra,Document in inventory
system_configuration,Tables,7,3,-4,-57%,HIGH,❌ Incomplete,Create 4 missing tables
system_configuration,Triggers,0,2,+2,N/A,LOW,ℹ️ Extra,Document in inventory
gamilit,Tables,10,0,-10,-100%,HIGH,❌ Empty,Evaluate necessity; some tables are in other schemas
gamilit,Functions,2,13,+11,+550%,LOW,✅ Superior,Update inventory with utility functions
public,Tables,2,6,+4,+200%,CRITICAL,⚠️ Wrong location,Move 6 tables to correct schemas
public,Functions,0,7,+7,N/A,MEDIUM,ℹ️ Extra,Document in inventory
public,Enums,0,5,+5,N/A,LOW,ℹ️ Extra,Document in inventory
public,Views,0,3,+3,N/A,LOW,ℹ️ Extra,Document in inventory
public,Triggers,0,8,+8,N/A,LOW,ℹ️ Extra,Document in inventory
GLOBAL,Schemas,13,13,0,0%,N/A,✅ OK,None
GLOBAL,Tables,62,62,0,0%,N/A,✅ Count OK,Fix distribution across schemas
GLOBAL,Functions,61,59,-2,-3%,MEDIUM,⚠️ Minor gap,Investigate 2 missing functions
GLOBAL,Triggers,39,39,0,0%,N/A,✅ OK,None
GLOBAL,Views,12,8,-4,-33%,MEDIUM,⚠️ Incomplete,Create 4 missing views
GLOBAL,Materialized Views,4,4,0,0%,N/A,✅ OK,None
GLOBAL,Enums,10,10,0,0%,N/A,✅ OK,None
