id,title,path,module,status,lines
RF-AUTH-001,Sistema de Roles de Usuario,docs/01-requerimientos/01-autenticacion-autorizacion/RF-AUTH-001-roles.md,AUTH,Implementado,391
RF-AUTH-002,Estados de Cuenta de Usuario,docs/01-requerimientos/01-autenticacion-autorizacion/RF-AUTH-002-estados-cuenta.md,AUTH,Implementado,592
RF-AUTH-003,Proveedores de Autenticación OAuth,docs/01-requerimientos/01-autenticacion-autorizacion/RF-AUTH-003-oauth.md,AUTH,Implementado,844
RF-GAM-001,Sistema de Logros (Achievements),docs/01-requerimientos/02-gamificacion/RF-GAM-001-achievements.md,GAM,Implementado,605
RF-GAM-002,Sistema de Comodines (Power-ups),docs/01-requerimientos/02-gamificacion/RF-GAM-002-comodines.md,GAM,Implementado,966
RF-GAM-003,Sistema de Rangos Maya,docs/01-requerimientos/02-gamificacion/RF-GAM-003-rangos-maya.md,GAM,Implementado,1108
RF-EDU-001,Mecánicas de Ejercicios,docs/01-requerimientos/03-contenido-educativo/RF-EDU-001-mecanicas-ejercicios.md,EDU,Implementado,960
RF-EDU-002,Niveles de Dificultad,docs/01-requerimientos/03-contenido-educativo/RF-EDU-002-niveles-dificultad.md,EDU,Implementado,619
RF-EDU-003,Taxonomía de Bloom,docs/01-requerimientos/03-contenido-educativo/RF-EDU-003-taxonomia-bloom.md,EDU,Implementado,917
RF-PRG-001,Estados de Progreso y Tracking,docs/01-requerimientos/04-progreso-seguimiento/RF-PRG-001-estados-progreso.md,PRG,Implementado,615
RF-PRG-002,Análisis de Desempeño,docs/01-requerimientos/04-progreso-seguimiento/RF-PRG-002-analisis-desempeno.md,PRG,Implementado,637
RF-SOC-001,Sistema de Aulas Virtuales,docs/01-requerimientos/05-caracteristicas-sociales/RF-SOC-001-aulas-virtuales.md,SOC,Implementado,1077
RF-SOC-002,Equipos Colaborativos,docs/01-requerimientos/05-caracteristicas-sociales/RF-SOC-002-equipos-colaborativos.md,SOC,Implementado,691
RF-SOC-003,Sistema de Amigos,docs/01-requerimientos/05-caracteristicas-sociales/RF-SOC-003-sistema-amigos.md,SOC,Implementado,681
RF-NOT-001,Tipos de Notificaciones,docs/01-requerimientos/06-notificaciones/RF-NOT-001-tipos-notificaciones.md,NOT,Implementado,729
RF-NOT-002,Preferencias de Notificaciones,docs/01-requerimientos/06-notificaciones/RF-NOT-002-preferencias-notificaciones.md,NOT,Implementado,614
RF-CNT-001,Gestión de Media,docs/01-requerimientos/07-contenido-media/RF-CNT-001-gestion-media.md,CNT,Implementado,169
RF-CNT-002,Tipos de Media y Procesamiento,docs/01-requerimientos/07-contenido-media/RF-CNT-002-tipos-media-procesamiento.md,CNT,Implementado,411
RF-CNT-003,Storage y CDN,docs/01-requerimientos/07-contenido-media/RF-CNT-003-storage-cdn.md,CNT,Implementado,437
RF-AUD-001,Sistema de Auditoría,docs/01-requerimientos/08-auditoria-configuracion/RF-AUD-001-sistema-auditoria.md,AUD,Implementado,198
RF-AUD-002,Alertas de Notificaciones,docs/01-requerimientos/08-auditoria-configuracion/RF-AUD-002-alertas-notificaciones.md,AUD,Implementado,704
RF-AUD-003,Niveles de Logging,docs/01-requerimientos/08-auditoria-configuracion/RF-AUD-003-niveles-logging.md,AUD,Implementado,755
RF-AUD-004,Retención de Datos,docs/01-requerimientos/08-auditoria-configuracion/RF-AUD-004-retencion-datos.md,AUD,Implementado,695
RF-CFG-001,Sistema de Configuración,docs/01-requerimientos/08-auditoria-configuracion/RF-CFG-001-sistema-configuracion.md,CFG,Implementado,870
ET-AUTH-001,RBAC (Role-Based Access Control),docs/02-especificaciones-tecnicas/01-autenticacion-autorizacion/ET-AUTH-001-rbac.md,AUTH,Implementado,586
ET-AUTH-002,Gestión de Estados de Cuenta,docs/02-especificaciones-tecnicas/01-autenticacion-autorizacion/ET-AUTH-002-estados-cuenta.md,AUTH,Implementado,732
ET-AUTH-003,OAuth 2.0 Providers,docs/02-especificaciones-tecnicas/01-autenticacion-autorizacion/ET-AUTH-003-oauth.md,AUTH,Implementado,539
ET-GAM-001,Sistema de Achievements,docs/02-especificaciones-tecnicas/02-gamificacion/ET-GAM-001-achievements.md,GAM,Implementado,1600
ET-GAM-002,Sistema de Comodines,docs/02-especificaciones-tecnicas/02-gamificacion/ET-GAM-002-comodines.md,GAM,Implementado,1151
