old_id,new_id,old_path,new_path,module,status
RF-AUTH-001,M-AUTH-REQ-001,docs/01-requerimientos/01-autenticacion-autorizacion/RF-AUTH-001-roles.md,docs/modules/AUTH/req/base/M-AUTH-REQ-001.md,AUTH,SUCCESS
RF-AUTH-002,M-AUTH-REQ-002,docs/01-requerimientos/01-autenticacion-autorizacion/RF-AUTH-002-estados-cuenta.md,docs/modules/AUTH/req/base/M-AUTH-REQ-002.md,AUTH,SUCCESS
RF-AUTH-003,M-AUTH-REQ-003,docs/01-requerimientos/01-autenticacion-autorizacion/RF-AUTH-003-oauth.md,docs/modules/AUTH/req/base/M-AUTH-REQ-003.md,AUTH,SUCCESS
RF-GAM-001,M-GAM-REQ-001,docs/01-requerimientos/02-gamificacion/RF-GAM-001-achievements.md,docs/modules/GAM/req/base/M-GAM-REQ-001.md,GAM,SUCCESS
RF-GAM-002,M-GAM-REQ-002,docs/01-requerimientos/02-gamificacion/RF-GAM-002-comodines.md,docs/modules/GAM/req/base/M-GAM-REQ-002.md,GAM,SUCCESS
RF-GAM-003,M-GAM-REQ-003,docs/01-requerimientos/02-gamificacion/RF-GAM-003-rangos-maya.md,docs/modules/GAM/req/base/M-GAM-REQ-003.md,GAM,SUCCESS
RF-EDU-001,M-EDU-REQ-001,docs/01-requerimientos/03-contenido-educativo/RF-EDU-001-mecanicas-ejercicios.md,docs/modules/EDU/req/base/M-EDU-REQ-001.md,EDU,SUCCESS
RF-EDU-002,M-EDU-REQ-002,docs/01-requerimientos/03-contenido-educativo/RF-EDU-002-niveles-dificultad.md,docs/modules/EDU/req/base/M-EDU-REQ-002.md,EDU,SUCCESS
RF-EDU-003,M-EDU-REQ-003,docs/01-requerimientos/03-contenido-educativo/RF-EDU-003-taxonomia-bloom.md,docs/modules/EDU/req/base/M-EDU-REQ-003.md,EDU,SUCCESS
RF-PRG-001,M-PRG-REQ-001,docs/01-requerimientos/04-progreso-seguimiento/RF-PRG-001-estados-progreso.md,docs/modules/PRG/req/base/M-PRG-REQ-001.md,PRG,SUCCESS
