Schema,Tipo,Nombre_Objeto,Prioridad,Impacto,Archivo_Origen,Accion_Requerida
auth_management,table,02-profiles,CRITICA,Sistema de perfiles incompleto,schemas/auth_management/tables/02-profiles.sql,Migrar inmediatamente
auth_management,table,03-user_roles,CRITICA,RBAC no funcional,schemas/auth_management/tables/03-user_roles.sql,Migrar inmediatamente
auth_management,table,04-memberships,CRITICA,Sistema de organizaciones ausente,schemas/auth_management/tables/04-memberships.sql,Migrar inmediatamente
auth_management,table,05-auth_attempts,CRITICA,Sin tracking de intentos fallidos,schemas/auth_management/tables/05-auth_attempts.sql,Migrar inmediatamente
auth_management,table,06-user_sessions,CRITICA,Gestión de sesiones ausente,schemas/auth_management/tables/06-user_sessions.sql,Migrar inmediatamente
auth_management,table,07-email_verification_tokens,CRITICA,Verificación de email no funcional,schemas/auth_management/tables/07-email_verification_tokens.sql,Migrar inmediatamente
auth_management,table,08-password_reset_tokens,CRITICA,Reset de password no funcional,schemas/auth_management/tables/08-password_reset_tokens.sql,Migrar inmediatamente
auth_management,table,09-security_events,CRITICA,Sin auditoría de seguridad,schemas/auth_management/tables/09-security_events.sql,Migrar inmediatamente
auth_management,table,10-user_preferences,ALTA,Preferencias de usuario ausentes,schemas/auth_management/tables/10-user_preferences.sql,Migrar en sprint actual
auth_management,function,06-user_has_permission,CRITICA,Verificación de permisos ausente,schemas/auth_management/functions/06-user_has_permission.sql,Migrar inmediatamente
auth_management,function,07-get_user_role,CRITICA,Obtención de rol ausente,schemas/auth_management/functions/07-get_user_role.sql,Migrar inmediatamente
auth_management,function,08-assign_role_to_user,CRITICA,Asignación de roles no funcional,schemas/auth_management/functions/08-assign_role_to_user.sql,Migrar inmediatamente
auth_management,function,09-revoke_role_from_user,CRITICA,Revocación de roles no funcional,schemas/auth_management/functions/09-revoke_role_from_user.sql,Migrar inmediatamente
auth_management,rls-policy,01-enable-rls,CRITICA,RLS no habilitado,schemas/auth_management/rls-policies/01-enable-rls.sql,Migrar inmediatamente
auth_management,rls-policy,02-policies,CRITICA,Sin políticas de seguridad,schemas/auth_management/rls-policies/02-policies.sql,Migrar inmediatamente
auth_management,rls-policy,03-grants,CRITICA,Sin permisos configurados,schemas/auth_management/rls-policies/03-grants.sql,Migrar inmediatamente
auth_management,rls-policy,04-user_roles-rls,CRITICA,Roles sin protección RLS,schemas/auth_management/rls-policies/04-user_roles-rls.sql,Migrar inmediatamente
auth_management,rls-policy,05-tenants-rls,ALTA,Multi-tenancy sin RLS,schemas/auth_management/rls-policies/05-tenants-rls.sql,Migrar en sprint actual
auth_management,index,01-idx_user_roles_permissions_gin,MEDIA,Performance de roles reducida,schemas/auth_management/indexes/01-idx_user_roles_permissions_gin.sql,Optimizar después
auth_management,index,01-user_sessions_indexes,MEDIA,Performance de sesiones reducida,schemas/auth_management/indexes/01-user_sessions_indexes.sql,Optimizar después
auth_management,index,02-user_preferences_indexes,BAJA,Performance de preferencias reducida,schemas/auth_management/indexes/02-user_preferences_indexes.sql,Optimizar después
gamification_system,function,01-award_ml_coins,CRITICA,Sistema de monedas no funcional,schemas/gamification_system/functions/01-award_ml_coins.sql,Migrar inmediatamente
gamification_system,function,02-calculate_level_from_xp,CRITICA,Cálculo de nivel ausente,schemas/gamification_system/functions/02-calculate_level_from_xp.sql,Migrar inmediatamente
gamification_system,function,03-calculate_xp_for_next_level,CRITICA,Progresión XP no funcional,schemas/gamification_system/functions/03-calculate_xp_for_next_level.sql,Migrar inmediatamente
gamification_system,function,04-get_user_rank_requirements,CRITICA,Requisitos de rango ausentes,schemas/gamification_system/functions/04-get_user_rank_requirements.sql,Migrar inmediatamente
gamification_system,function,05-spend_ml_coins,CRITICA,Gasto de monedas no funcional,schemas/gamification_system/functions/05-spend_ml_coins.sql,Migrar inmediatamente
gamification_system,function,06-award_achievement,CRITICA,Logros no otorgables,schemas/gamification_system/functions/06-award_achievement.sql,Migrar inmediatamente
gamification_system,function,07-check_achievement_progress,ALTA,Progreso de logros sin tracking,schemas/gamification_system/functions/07-check_achievement_progress.sql,Migrar en sprint actual
gamification_system,function,08-use_comodín,ALTA,Comodines no utilizables,schemas/gamification_system/functions/08-use_comodín.sql,Migrar en sprint actual
gamification_system,function,09-check_comodín_expiry,ALTA,Expiración de comodines sin validar,schemas/gamification_system/functions/09-check_comodín_expiry.sql,Migrar en sprint actual
gamification_system,function,10-update_leaderboard,ALTA,Leaderboards no actualizables,schemas/gamification_system/functions/10-update_leaderboard.sql,Migrar en sprint actual
gamification_system,function,11-update_user_rank_progress,CRITICA,Progreso de rango no actualizable,schemas/gamification_system/functions/11-update_user_rank_progress.sql,Migrar inmediatamente
gamification_system,function,12-get_user_leaderboard_position,MEDIA,Posición en leaderboard ausente,schemas/gamification_system/functions/12-get_user_leaderboard_position.sql,Migrar en sprint actual
gamification_system,function,13-calculate_streak,MEDIA,Rachas no calculables,schemas/gamification_system/functions/13-calculate_streak.sql,Migrar en sprint actual
gamification_system,function,14-check_rank_promotion,CRITICA,Promoción de rango no funcional,schemas/gamification_system/functions/14-check_rank_promotion.sql,Migrar inmediatamente
gamification_system,function,15-unlock_achievement,ALTA,Desbloqueo de logros ausente,schemas/gamification_system/functions/15-unlock_achievement.sql,Migrar en sprint actual
gamification_system,function,16-activate_boost,MEDIA,Boosts no activables,schemas/gamification_system/functions/16-activate_boost.sql,Migrar en sprint actual
gamification_system,function,17-get_maya_rank_by_level,ALTA,Obtención de rango maya ausente,schemas/gamification_system/functions/17-get_maya_rank_by_level.sql,Migrar en sprint actual
gamification_system,index,02-achievement_categories_indexes,MEDIA,Performance de categorías reducida,schemas/gamification_system/indexes/02-achievement_categories_indexes.sql,Optimizar después
gamification_system,index,02-user_stats_indexes,ALTA,Performance de stats crítica,schemas/gamification_system/indexes/02-user_stats_indexes.sql,Migrar en sprint actual
gamification_system,index,03-active_boosts_indexes,MEDIA,Performance de boosts reducida,schemas/gamification_system/indexes/03-active_boosts_indexes.sql,Optimizar después
