Schema,Tipo_Objeto,Nombre,Prioridad,Tamano_Bytes,Lineas,Dependencias,Ruta_Origen,Ruta_Destino
"audit_logging","INDEX","CONCURRENTLY","ALTA",4706,128,10,"/home/isem/workspace/workspace-gamilit/projects/gamilit-docs/03-desarrollo/base-de-datos/backup-ddl/gamilit_platform/schemas/audit_logging/indexes/01-audit_logs_indexes.sql","/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/audit_logging/index/01-audit_logs_indexes.sql"
"audit_logging","UNKNOWN","None","ALTA",1147,21,0,"/home/isem/workspace/workspace-gamilit/projects/gamilit-docs/03-desarrollo/base-de-datos/backup-ddl/gamilit_platform/schemas/audit_logging/rls-policies/01-enable-rls.sql","/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/audit_logging/rls-policy/01-enable-rls.sql"
"audit_logging","RLS POLICY","audit_logs_select_admin","ALTA",6549,166,6,"/home/isem/workspace/workspace-gamilit/projects/gamilit-docs/03-desarrollo/base-de-datos/backup-ddl/gamilit_platform/schemas/audit_logging/rls-policies/02-policies.sql","/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/audit_logging/rls-policy/02-policies.sql"
"audit_logging","UNKNOWN","None","ALTA",1138,27,0,"/home/isem/workspace/workspace-gamilit/projects/gamilit-docs/03-desarrollo/base-de-datos/backup-ddl/gamilit_platform/schemas/audit_logging/rls-policies/03-grants.sql","/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/audit_logging/rls-policy/03-grants.sql"
"auth_management","RLS POLICY","None","ALTA",3422,101,6,"/home/isem/workspace/workspace-gamilit/projects/gamilit-docs/03-desarrollo/base-de-datos/backup-ddl/gamilit_platform/schemas/auth_management/rls-policies/05-tenants-rls.sql","/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/auth_management/rls-policy/05-tenants-rls.sql"
"auth_management","TABLE","auth_management.user_preferences","ALTA",3796,79,10,"/home/isem/workspace/workspace-gamilit/projects/gamilit-docs/03-desarrollo/base-de-datos/backup-ddl/gamilit_platform/schemas/auth_management/tables/10-user_preferences.sql","/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/auth_management/table/10-user_preferences.sql"
"educational_content","FUNCTION","educational_content.calculate_learning_path","ALTA",3448,99,10,"/home/isem/workspace/workspace-gamilit/projects/gamilit-docs/03-desarrollo/base-de-datos/backup-ddl/gamilit_platform/schemas/educational_content/functions/01-calculate_learning_path.sql","/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/educational_content/function/01-calculate_learning_path.sql"
"educational_content","FUNCTION","educational_content.get_recommended_missions","ALTA",2734,73,10,"/home/isem/workspace/workspace-gamilit/projects/gamilit-docs/03-desarrollo/base-de-datos/backup-ddl/gamilit_platform/schemas/educational_content/functions/02-get_recommended_missions.sql","/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/educational_content/function/02-get_recommended_missions.sql"
"educational_content","RLS POLICY","exercises_all_admin","ALTA",6193,160,5,"/home/isem/workspace/workspace-gamilit/projects/gamilit-docs/03-desarrollo/base-de-datos/backup-ddl/gamilit_platform/schemas/educational_content/rls-policies/02-policies.sql","/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/educational_content/rls-policy/02-policies.sql"
"educational_content","UNKNOWN","None","ALTA",1208,26,0,"/home/isem/workspace/workspace-gamilit/projects/gamilit-docs/03-desarrollo/base-de-datos/backup-ddl/gamilit_platform/schemas/educational_content/rls-policies/03-grants.sql","/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/educational_content/rls-policy/03-grants.sql"
