id,type,module,title,status,path
M-AUTH-REQ-001,REQ,AUTH,M-AUTH-REQ-001: Sistema de Roles de Usuario,implemented,docs/modules/AUTH/req/base/M-AUTH-REQ-001.md
M-AUTH-REQ-002,REQ,AUTH,M-AUTH-REQ-002: Estados de Cuenta de Usuario,implemented,docs/modules/AUTH/req/base/M-AUTH-REQ-002.md
M-AUTH-REQ-003,REQ,AUTH,M-AUTH-REQ-003: Proveedores de Autenticación OAuth,implemented,docs/modules/AUTH/req/base/M-AUTH-REQ-003.md
M-AUTH-ET-001,ET,AUTH,M-AUTH-ET-001: RBAC (Role-Based Access Control),implemented,docs/modules/AUTH/spec/M-AUTH-ET-001.md
M-AUTH-ET-002,ET,AUTH,M-AUTH-ET-002: Gestión de Estados de Cuenta,implemented,docs/modules/AUTH/spec/M-AUTH-ET-002.md
M-AUTH-ET-003,ET,AUTH,M-AUTH-ET-003: OAuth 2.0 Providers,implemented,docs/modules/AUTH/spec/M-AUTH-ET-003.md
M-GAM-REQ-001,REQ,GAM,M-GAM-REQ-001: Sistema de Logros (Achievements),implemented,docs/modules/GAM/req/base/M-GAM-REQ-001.md
M-GAM-REQ-002,REQ,GAM,M-GAM-REQ-002: Sistema de Comodines (Power-ups),implemented,docs/modules/GAM/req/base/M-GAM-REQ-002.md
M-GAM-REQ-003,REQ,GAM,M-GAM-REQ-003: Sistema de Rangos Maya,implemented,docs/modules/GAM/req/base/M-GAM-REQ-003.md
M-GAM-ET-001,ET,GAM,M-GAM-ET-001: Implementación del Sistema de Achievements,implemented,docs/modules/GAM/spec/M-GAM-ET-001.md
M-GAM-ET-002,ET,GAM,M-GAM-ET-002: Implementación del Sistema de Comodines,implemented,docs/modules/GAM/spec/M-GAM-ET-002.md
M-GAM-ET-003,ET,GAM,M-GAM-ET-003: Sistema de Rangos Maya,implemented,docs/modules/GAM/spec/M-GAM-ET-003.md
M-EDU-REQ-001,REQ,EDU,M-EDU-REQ-001: Mecánicas de Ejercicios,implemented,docs/modules/EDU/req/base/M-EDU-REQ-001.md
M-EDU-REQ-002,REQ,EDU,M-EDU-REQ-002: Niveles de Dificultad de Ejercicios,implemented,docs/modules/EDU/req/base/M-EDU-REQ-002.md
M-EDU-REQ-003,REQ,EDU,M-EDU-REQ-003: Taxonomía de Bloom para Clasificación Cognitiva,implemented,docs/modules/EDU/req/base/M-EDU-REQ-003.md
M-EDU-ET-001,ET,EDU,M-EDU-ET-001: Implementación de Mecánicas de Ejercicios,implemented,docs/modules/EDU/spec/M-EDU-ET-001.md
M-EDU-ET-002,ET,EDU,M-EDU-ET-002: Especificación Técnica - Niveles de Dificultad,implemented,docs/modules/EDU/spec/M-EDU-ET-002.md
M-EDU-ET-003,ET,EDU,M-EDU-ET-003: Especificación Técnica - Taxonomía de Bloom,implemented,docs/modules/EDU/spec/M-EDU-ET-003.md
M-PRG-REQ-001,REQ,PRG,M-PRG-REQ-001: Estados de Progreso y Tracking,implemented,docs/modules/PRG/req/base/M-PRG-REQ-001.md
M-PRG-REQ-002,REQ,PRG,M-PRG-REQ-002: Análisis de Desempeño y Analytics,implemented,docs/modules/PRG/req/base/M-PRG-REQ-002.md
M-PRG-ET-001,ET,PRG,M-PRG-ET-001: Implementación de Tracking de Progreso,implemented,docs/modules/PRG/spec/M-PRG-ET-001.md
M-PRG-ET-002,ET,PRG,M-PRG-ET-002: Análisis de Desempeño - Especificación Técnica,implemented,docs/modules/PRG/spec/M-PRG-ET-002.md
M-SOC-REQ-001,REQ,SOC,M-SOC-REQ-001: Sistema de Aulas Virtuales,implemented,docs/modules/SOC/req/base/M-SOC-REQ-001.md
M-SOC-REQ-002,REQ,SOC,M-SOC-REQ-002: Sistema de Equipos Colaborativos,implemented,docs/modules/SOC/req/base/M-SOC-REQ-002.md
M-SOC-REQ-003,REQ,SOC,M-SOC-REQ-003: Sistema de Amigos y Red Social,implemented,docs/modules/SOC/req/base/M-SOC-REQ-003.md
M-SOC-ET-001,ET,SOC,M-SOC-ET-001: Sistema de Aulas Virtuales - Especificación Técnica,implemented,docs/modules/SOC/spec/M-SOC-ET-001.md
M-SOC-ET-002,ET,SOC,M-SOC-ET-002: Especificación Técnica - Equipos Colaborativos,implemented,docs/modules/SOC/spec/M-SOC-ET-002.md
M-SOC-ET-003,ET,SOC,M-SOC-ET-003: Especificación Técnica - Sistema de Amigos,implemented,docs/modules/SOC/spec/M-SOC-ET-003.md
M-NOT-REQ-001,REQ,NOT,M-NOT-REQ-001: Tipos de Notificaciones,implemented,docs/modules/NOT/req/base/M-NOT-REQ-001.md
M-NOT-REQ-002,REQ,NOT,M-NOT-REQ-002: Preferencias de Notificaciones,implemented,docs/modules/NOT/req/base/M-NOT-REQ-002.md
M-NOT-ET-001,ET,NOT,M-NOT-ET-001: Implementación del Sistema de Notificaciones,implemented,docs/modules/NOT/spec/M-NOT-ET-001.md
M-NOT-ET-002,ET,NOT,M-NOT-ET-002: Preferencias de Notificaciones - Especificación Técnica,implemented,docs/modules/NOT/spec/M-NOT-ET-002.md
M-CNT-REQ-001,REQ,CNT,M-CNT-REQ-001: Gestión de Contenido y Media,implemented,docs/modules/CNT/req/base/M-CNT-REQ-001.md
M-CNT-REQ-002,REQ,CNT,M-CNT-REQ-002: Tipos de Media y Procesamiento Específico,implemented,docs/modules/CNT/req/base/M-CNT-REQ-002.md
M-CNT-REQ-003,REQ,CNT,M-CNT-REQ-003: Storage y Distribución mediante CDN,implemented,docs/modules/CNT/req/base/M-CNT-REQ-003.md
M-CNT-ET-001,ET,CNT,M-CNT-ET-001: Gestión de Media - Especificación Técnica,implemented,docs/modules/CNT/spec/M-CNT-ET-001.md
M-CNT-ET-002,ET,CNT,M-CNT-ET-002: Especificación Técnica - Tipos de Media y Procesamiento,implemented,docs/modules/CNT/spec/M-CNT-ET-002.md
M-CNT-ET-003,ET,CNT,M-CNT-ET-003: Especificación Técnica - Storage y CDN,implemented,docs/modules/CNT/spec/M-CNT-ET-003.md
M-AUD-REQ-001,REQ,AUD,M-AUD-REQ-001: Sistema de Auditoría,implemented,docs/modules/AUD/req/base/M-AUD-REQ-001.md
M-AUD-REQ-002,REQ,AUD,M-AUD-REQ-002: Sistema de Alertas y Notificaciones,implemented,docs/modules/AUD/req/base/M-AUD-REQ-002.md
M-AUD-REQ-003,REQ,AUD,M-AUD-REQ-003: Niveles de Logging y Configuración Dinámica,implemented,docs/modules/AUD/req/base/M-AUD-REQ-003.md
M-AUD-REQ-004,REQ,AUD,M-AUD-REQ-004: Políticas de Retención y Eliminación de Datos,implemented,docs/modules/AUD/req/base/M-AUD-REQ-004.md
M-AUD-ET-001,ET,AUD,M-AUD-ET-001: Sistema de Auditoría - Especificación Técnica,implemented,docs/modules/AUD/spec/M-AUD-ET-001.md
M-AUD-ET-002,ET,AUD,M-AUD-ET-002: Especificación Técnica - Alertas y Notificaciones,implemented,docs/modules/AUD/spec/M-AUD-ET-002.md
M-AUD-ET-003,ET,AUD,M-AUD-ET-003: Especificación Técnica - Niveles de Logging,implemented,docs/modules/AUD/spec/M-AUD-ET-003.md
M-CFG-REQ-001,REQ,CFG,M-CFG-REQ-001: Sistema de Configuración y Feature Flags,implemented,docs/modules/CFG/req/base/M-CFG-REQ-001.md
