obj_id,layer,module,type,name,path
OBJ-DB-AUTH-ENUM-AAL-LEVEL,DB,AUTH,enum,aal_level,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/auth/enums/aal_level.sql
OBJ-DB-AUTH-ENUM-CODE-CHALLENGE-METHOD,DB,AUTH,enum,code_challenge_method,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/auth/enums/code_challenge_method.sql
OBJ-DB-AUTH-IDX-USERS,DB,AUTH,index,users,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/auth/tables/01-users.sql
OBJ-DB-AUTH-FN-ASSIGN-ROLE-TO-USER,DB,AUTH,function,assign_role_to_user,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/auth_management/functions/01-assign_role_to_user.sql
OBJ-DB-AUTH-FN-GET-USER-ROLE,DB,AUTH,function,get_user_role,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/auth_management/functions/02-get_user_role.sql
OBJ-DB-AUTH-FN-USER-HAS-PERMISSION,DB,AUTH,function,user_has_permission,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/auth_management/functions/03-verify_user_permission.sql
OBJ-DB-AUTH-FN-REVOKE-ROLE-FROM-USER,DB,AUTH,function,revoke_role_from_user,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/auth_management/functions/04-remove_role_from_user.sql
OBJ-DB-AUTH-FN-HASH-TOKEN,DB,AUTH,function,hash_token,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/auth_management/functions/05-hash_token.sql
OBJ-DB-AUTH-FN-UPDATE-USER-PREFERENCES,DB,AUTH,function,update_user_preferences,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/auth_management/functions/06-update_user_preferences.sql
OBJ-DB-AUTH-IDX-IDX-USER-PREFERENCES-THEME,DB,AUTH,index,idx_user_preferences_theme,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/auth_management/indexes/01-idx_user_preferences_theme.sql
OBJ-DB-AUTH-IDX-IDX-USER-ROLES-PERMISSIONS-GIN,DB,AUTH,index,idx_user_roles_permissions_gin,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/auth_management/indexes/02-idx_user_roles_permissions_gin.sql
OBJ-DB-AUTH-UNKN-01-POLICIES,DB,AUTH,unknown,01-policies,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/auth_management/rls-policies/01-policies.sql
OBJ-DB-AUTH-TRG-TENANTS,DB,AUTH,trigger,tenants,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/auth_management/tables/01-tenants.sql
OBJ-DB-AUTH-IDX-AUTH-ATTEMPTS,DB,AUTH,index,auth_attempts,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/auth_management/tables/02-auth_attempts.sql
OBJ-DB-AUTH-TRG-PROFILES,DB,AUTH,trigger,profiles,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/auth_management/tables/03-profiles.sql
OBJ-DB-AUTH-TRG-USER-ROLES,DB,AUTH,trigger,user_roles,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/auth_management/tables/04-roles.sql
OBJ-DB-AUTH-TRG-AUTH-PROVIDERS,DB,AUTH,trigger,auth_providers,/home/isem/workspace/workspace-gamilit/gamilit/projects/gamilit/apps/database/ddl/schemas/auth_management/tables/05-auth_providers.sql
