id,tags
M-AUTH-REQ-001,"AUTH,REQ"
M-AUTH-REQ-002,"AUTH,REQ"
M-AUTH-REQ-003,"AUTH,REQ"
M-AUTH-ET-001,"AUTH,ET"
M-AUTH-ET-002,"AUTH,ET"
M-AUTH-ET-003,"AUTH,ET"
M-GAM-REQ-001,"GAM,REQ"
M-GAM-REQ-002,"GAM,REQ"
M-GAM-REQ-003,"GAM,REQ"
M-GAM-ET-001,"GAM,ET"
M-GAM-ET-002,"GAM,ET"
M-GAM-ET-003,"GAM,ET"
M-EDU-REQ-001,"EDU,REQ"
M-EDU-REQ-002,"EDU,REQ"
M-EDU-REQ-003,"EDU,REQ"
M-EDU-ET-001,"EDU,ET"
M-EDU-ET-002,"EDU,ET"
M-EDU-ET-003,"EDU,ET"
M-PRG-REQ-001,"PRG,REQ"
M-PRG-REQ-002,"PRG,REQ"
M-PRG-ET-001,"PRG,ET"
M-PRG-ET-002,"PRG,ET"
M-SOC-REQ-001,"SOC,REQ"
M-SOC-REQ-002,"SOC,REQ"
M-SOC-REQ-003,"SOC,REQ"
M-SOC-ET-001,"SOC,ET"
M-SOC-ET-002,"SOC,ET"
M-SOC-ET-003,"SOC,ET"
M-NOT-REQ-001,"NOT,REQ"
M-NOT-REQ-002,"NOT,REQ"
M-NOT-ET-001,"NOT,ET"
M-NOT-ET-002,"NOT,ET"
M-CNT-REQ-001,"CNT,REQ"
M-CNT-REQ-002,"CNT,REQ"
M-CNT-REQ-003,"CNT,REQ"
M-CNT-ET-001,"CNT,ET"
M-CNT-ET-002,"CNT,ET"
M-CNT-ET-003,"CNT,ET"
M-AUD-REQ-001,"AUD,REQ"
M-AUD-REQ-002,"AUD,REQ"
M-AUD-REQ-003,"AUD,REQ"
M-AUD-REQ-004,"AUD,REQ"
M-AUD-ET-001,"AUD,ET"
M-AUD-ET-002,"AUD,ET"
M-AUD-ET-003,"AUD,ET"
M-CFG-REQ-001,"CFG,REQ"
