Módulo,DTO Backend,Frontend Type,Propiedades Backend,Propiedades Frontend,Coverage %,Estado,Prioridad,Esfuerzo (h)
Auth,LoginDto,LoginCredentials,2,2,100%,OK,P3,0
Auth,RegisterUserDto,RegisterData,5,4,80%,NEEDS_UPDATE,P2,0.5
Auth,UserResponseDto,User,8,5,63%,NEEDS_UPDATE,P1,1
Auth,ProfileResponseDto,Profile,25,25,100%,EXCELLENT,P3,0
Educational,ExerciseResponseDto,Exercise,44,44,100%,EXCELLENT,P3,0
Educational,ModuleResponseDto,Module,45,14,31%,CRITICAL,P0,1.5
Educational,RubricResponseDto,N/A,0,0,0%,MISSING,P2,0.5
Educational,MediaResponseDto,N/A,0,0,0%,MISSING,P2,0.5
Gamification,UserStatsResponseDto,UserStats,40,6,15%,CRITICAL,P0,2
Gamification,AchievementResponseDto,Achievement,23,10,43%,NEEDS_UPDATE,P1,1
Gamification,UserRankResponseDto,N/A,0,0,0%,MISSING,P2,0.5
Gamification,MissionResponseDto,N/A,0,0,0%,MISSING,P2,0.5
Gamification,TransactionResponseDto,MLCoinsBalance,8,3,38%,NEEDS_UPDATE,P2,0.75
Gamification,LeaderboardEntryDto,LeaderboardEntry,12,13,92%,NEEDS_SYNC,P1,1
Gamification,NotificationResponseDto,N/A,0,0,0%,MISSING,P2,0.5
Gamification,InventoryResponseDto,N/A,0,0,0%,MISSING,P2,0.5
Progress,ModuleProgressResponseDto,ModuleProgress,38,38,100%,EXCELLENT,P3,0
Progress,ExerciseSubmissionResponseDto,ExerciseSubmission,20,12,60%,NEEDS_UPDATE,P1,0.75
Progress,ExerciseAttemptResponseDto,ExerciseAttempt,10,10,100%,OK,P3,0
Progress,LearningSessionResponseDto,LearningSession,9,9,100%,OK,P3,0
Social,ClassroomResponseDto,Classroom,25,9,36%,NEEDS_UPDATE,P1,1
Social,TeamResponseDto,Team,8,8,100%,OK,P3,0
Social,FriendshipResponseDto,Friendship,6,6,100%,OK,P3,0
Social,SchoolResponseDto,School,11,11,100%,OK,P3,0
Social,TeamChallengeResponseDto,TeamChallenge,9,9,100%,OK,P3,0
Admin,UserDetailsDto,N/A,0,0,0%,MISSING,P0,1
Admin,OrganizationDto,N/A,0,0,0%,MISSING,P0,0.5
Admin,SystemHealthDto,N/A,0,0,0%,MISSING,P0,0.5
Admin,SystemMetricsDto,N/A,0,0,0%,MISSING,P0,0.5
Admin,AuditLogDto,N/A,0,0,0%,MISSING,P0,0.5
Content,ContentTemplateResponseDto,N/A,0,0,0%,MISSING,P2,0.5
Content,MediaFileResponseDto,N/A,0,0,0%,MISSING,P2,0.5
Missions,MissionResponseDto,N/A,0,0,0%,MISSING,P2,0.5
Missions,ClaimMissionRewardsDto,N/A,0,0,0%,MISSING,P2,0.25
Notifications,NotificationResponseDto,N/A,0,0,0%,MISSING,P2,0.5
Notifications,PaginatedNotificationsDto,N/A,0,0,0%,MISSING,P2,0.25
Powerups,PowerupsCatalogDto,N/A,0,0,0%,MISSING,P2,0.5
Powerups,PowerupsInventoryDto,N/A,0,0,0%,MISSING,P2,0.5
Powerups,PurchasePowerupDto,N/A,0,0,0%,MISSING,P2,0.25
Powerups,UsePowerupDto,N/A,0,0,0%,MISSING,P2,0.25
