Documento,Tipo Referencia,Ruta,Existe,Fase
90-transversal/SOCIAL-FEATURES-COMPLETO.md,archivo,apps/database/ddl/schemas/social_features/tables/02-schools.sql,SI,90-transversal
90-transversal/SOCIAL-FEATURES-COMPLETO.md,archivo,apps/database/ddl/schemas/social_features/tables/03-classrooms.sql,SI,90-transversal
90-transversal/SOCIAL-FEATURES-COMPLETO.md,archivo,apps/database/ddl/schemas/social_features/tables/04-classroom_members.sql,SI,90-transversal
90-transversal/SOCIAL-FEATURES-COMPLETO.md,archivo,apps/database/ddl/schemas/social_features/tables/01-friendships.sql,SI,90-transversal
90-transversal/SOCIAL-FEATURES-COMPLETO.md,archivo,apps/database/ddl/schemas/social_features/tables/05-teams.sql,SI,90-transversal
90-transversal/SOCIAL-FEATURES-COMPLETO.md,archivo,apps/database/ddl/schemas/social_features/tables/06-team_members.sql,SI,90-transversal
90-transversal/SOCIAL-FEATURES-COMPLETO.md,archivo,apps/database/ddl/schemas/social_features/tables/07-team_challenges.sql,SI,90-transversal
90-transversal/SOCIAL-FEATURES-COMPLETO.md,archivo,apps/database/ddl/schemas/social_features/functions/cleanup_old_notifications.sql,SI,90-transversal
90-transversal/SOCIAL-FEATURES-COMPLETO.md,archivo,apps/database/ddl/schemas/social_features/tables/02-schools.sql,SI,90-transversal
90-transversal/SOCIAL-FEATURES-COMPLETO.md,archivo,apps/database/ddl/schemas/social_features/tables/03-classrooms.sql,SI,90-transversal
90-transversal/SOCIAL-FEATURES-COMPLETO.md,archivo,apps/database/ddl/schemas/social_features/tables/04-classroom_members.sql,SI,90-transversal
90-transversal/SOCIAL-FEATURES-COMPLETO.md,archivo,apps/database/ddl/schemas/social_features/tables/01-friendships.sql,SI,90-transversal
90-transversal/SOCIAL-FEATURES-COMPLETO.md,archivo,apps/database/ddl/schemas/social_features/tables/05-teams.sql,SI,90-transversal
90-transversal/SOCIAL-FEATURES-COMPLETO.md,archivo,apps/database/ddl/schemas/social_features/tables/06-team_members.sql,SI,90-transversal
90-transversal/SOCIAL-FEATURES-COMPLETO.md,archivo,apps/database/ddl/schemas/social_features/tables/07-team_challenges.sql,SI,90-transversal
90-transversal/SOCIAL-FEATURES-COMPLETO.md,archivo,apps/database/ddl/schemas/social_features/functions/cleanup_old_notifications.sql,SI,90-transversal
90-transversal/FUNCIONES-UTILITARIAS-GAMILIT.md,archivo,apps/database/ddl/schemas/gamilit/functions/01-audit_profile_changes.sql,SI,90-transversal
90-transversal/FUNCIONES-UTILITARIAS-GAMILIT.md,archivo,apps/database/ddl/schemas/gamilit/functions/02-get_current_user_id.sql,SI,90-transversal
90-transversal/FUNCIONES-UTILITARIAS-GAMILIT.md,archivo,apps/database/ddl/schemas/gamilit/functions/03-get_current_user_role.sql,SI,90-transversal
90-transversal/FUNCIONES-UTILITARIAS-GAMILIT.md,archivo,apps/database/ddl/schemas/gamilit/functions/05-is_admin.sql,SI,90-transversal
90-transversal/FUNCIONES-UTILITARIAS-GAMILIT.md,archivo,apps/database/ddl/schemas/gamilit/functions/04-initialize_user_stats.sql,SI,90-transversal
90-transversal/FUNCIONES-UTILITARIAS-GAMILIT.md,archivo,apps/database/ddl/schemas/gamilit/functions/09-set_profile_defaults.sql,SI,90-transversal
90-transversal/FUNCIONES-UTILITARIAS-GAMILIT.md,archivo,apps/database/ddl/schemas/gamilit/functions/08-now_mexico.sql,SI,90-transversal
90-transversal/FUNCIONES-UTILITARIAS-GAMILIT.md,archivo,apps/database/ddl/schemas/gamilit/functions/09-update_updated_at_column.sql,SI,90-transversal
90-transversal/FUNCIONES-UTILITARIAS-GAMILIT.md,archivo,apps/database/ddl/schemas/gamilit/functions/12-validate_email_format.sql,SI,90-transversal
90-transversal/FUNCIONES-UTILITARIAS-GAMILIT.md,archivo,apps/database/ddl/schemas/gamilit/functions/13-validate_username.sql,SI,90-transversal
