Documento,Schema,Tabla,Existe,Fase
90-transversal/SOCIAL-FEATURES-COMPLETO.md,auth_management,tenants,SI,90-transversal
90-transversal/SOCIAL-FEATURES-COMPLETO.md,social_features,schools,SI,90-transversal
90-transversal/SOCIAL-FEATURES-COMPLETO.md,classrooms,school_id,SI,90-transversal
90-transversal/SOCIAL-FEATURES-COMPLETO.md,gamilit,now_mexico,SI,90-transversal
90-transversal/SOCIAL-FEATURES-COMPLETO.md,social_features,team_challenges,SI,90-transversal
90-transversal/SOCIAL-FEATURES-COMPLETO.md,auth,users,SI,90-transversal
90-transversal/SOCIAL-FEATURES-COMPLETO.md,schools,id,SI,90-transversal
90-transversal/SOCIAL-FEATURES-COMPLETO.md,classrooms,id,SI,90-transversal
90-transversal/SOCIAL-FEATURES-COMPLETO.md,social_features,cleanup_old_notifications,NO,90-transversal
90-transversal/SOCIAL-FEATURES-COMPLETO.md,social_features,teams,SI,90-transversal
90-transversal/SOCIAL-FEATURES-COMPLETO.md,social_features,team_members,SI,90-transversal
90-transversal/SOCIAL-FEATURES-COMPLETO.md,social_features,classrooms,SI,90-transversal
90-transversal/SOCIAL-FEATURES-COMPLETO.md,social_features,friendships,SI,90-transversal
90-transversal/SOCIAL-FEATURES-COMPLETO.md,social_features,classroom_members,SI,90-transversal
90-transversal/ADMIN-DASHBOARD-COMPLETO.md,admin_dashboard,moderation_queue,NO,90-transversal
90-transversal/ADMIN-DASHBOARD-COMPLETO.md,admin_dashboard,recent_admin_actions,NO,90-transversal
90-transversal/ADMIN-DASHBOARD-COMPLETO.md,social_features,reported_users,NO,90-transversal
90-transversal/ADMIN-DASHBOARD-COMPLETO.md,content_management,flagged_content,SI,90-transversal
90-transversal/ADMIN-DASHBOARD-COMPLETO.md,cron,schedule,NO,90-transversal
90-transversal/ADMIN-DASHBOARD-COMPLETO.md,audit_logging,audit_logs,SI,90-transversal
90-transversal/ADMIN-DASHBOARD-COMPLETO.md,admin_dashboard,organization_stats_summary,NO,90-transversal
90-transversal/ADMIN-DASHBOARD-COMPLETO.md,admin_dashboard,user_stats_summary,NO,90-transversal
90-transversal/AUDIT-LOGGING-COMPLETO.md,public,log_system_event,NO,90-transversal
90-transversal/AUDIT-LOGGING-COMPLETO.md,public,cleanup_old_user_activity,NO,90-transversal
90-transversal/AUDIT-LOGGING-COMPLETO.md,public,cleanup_old_system_logs,NO,90-transversal
