Documento,Fase,Total Refs Código,Total Refs Tablas,Total Refs Entidades,Total Inválidas,Tasa Validez (%)
90-transversal/SOCIAL-FEATURES-COMPLETO.md,90-transversal,16,14,0,0,100.0
90-transversal/ADMIN-DASHBOARD-COMPLETO.md,90-transversal,0,8,0,0,0.0
90-transversal/README.md,90-transversal,0,0,0,0,0.0
90-transversal/AUDIT-LOGGING-COMPLETO.md,90-transversal,0,5,0,0,0.0
90-transversal/_MAP.md,90-transversal,0,3,0,0,0.0
90-transversal/FUNCIONES-UTILITARIAS-GAMILIT.md,90-transversal,26,26,0,0,100.0
90-transversal/FUNCIONES-UTILITARIAS-PUBLIC.md,90-transversal,33,24,0,5,84.8
90-transversal/STORAGE-SYSTEM.md,90-transversal,5,5,0,1,80.0
90-transversal/CONTENT-MANAGEMENT-COMPLETO.md,90-transversal,0,0,0,0,0.0
90-transversal/features/FEATURES-PENDIENTES.md,90-transversal,0,1,0,0,0.0
90-transversal/features/RESUMEN-EJECUTIVO-DECISIONES-P3.md,90-transversal,0,0,0,0,0.0
90-transversal/features/FEATURES-IMPLEMENTADAS.md,90-transversal,0,2,0,0,0.0
90-transversal/features/_MAP.md,90-transversal,0,1,0,0,0.0
90-transversal/metricas/_MAP.md,90-transversal,0,0,0,0,0.0
90-transversal/roadmap/_MAP.md,90-transversal,0,0,0,0,0.0
90-transversal/roadmap/ROADMAP-GENERAL.md,90-transversal,0,6,0,0,0.0
90-transversal/sprints/_MAP.md,90-transversal,0,0,0,0,0.0
90-transversal/sprints/SPRINTS-DETALLADOS.md,90-transversal,0,0,0,0,0.0
90-transversal/correcciones/ISSUES-CRITICOS.md,90-transversal,0,29,0,0,0.0
90-transversal/correcciones/_MAP.md,90-transversal,0,0,0,0,0.0
03-fase-extensiones/README.md,03-fase-extensiones,0,0,0,0,0.0
03-fase-extensiones/_MAP.md,03-fase-extensiones,0,0,0,0,0.0
03-fase-extensiones/EXT-007-lti-integration/README.md,03-fase-extensiones,0,9,0,0,0.0
03-fase-extensiones/EXT-007-lti-integration/_MAP.md,03-fase-extensiones,0,0,0,0,0.0
03-fase-extensiones/EXT-007-lti-integration/historias-usuario/US-LTI-002-grade-passback.md,03-fase-extensiones,0,6,0,0,0.0
03-fase-extensiones/EXT-007-lti-integration/historias-usuario/US-LTI-003-deep-linking.md,03-fase-extensiones,0,0,0,0,0.0
03-fase-extensiones/EXT-007-lti-integration/historias-usuario/US-LTI-001-oidc-login.md,03-fase-extensiones,0,7,0,0,0.0
03-fase-extensiones/EXT-007-lti-integration/historias-usuario/US-LTI-004-platform-config.md,03-fase-extensiones,0,0,0,0,0.0
03-fase-extensiones/EXT-010-parent-notifications/README.md,03-fase-extensiones,0,3,0,0,0.0
03-fase-extensiones/EXT-010-parent-notifications/_MAP.md,03-fase-extensiones,0,0,0,0,0.0
03-fase-extensiones/EXT-010-parent-notifications/historias-usuario/US-PARENT-002-low-performance-alert.md,03-fase-extensiones,0,0,0,0,0.0
03-fase-extensiones/EXT-010-parent-notifications/historias-usuario/US-PARENT-001-weekly-report.md,03-fase-extensiones,0,0,0,0,0.0
03-fase-extensiones/EXT-010-parent-notifications/historias-usuario/US-PARENT-003-achievement-notification.md,03-fase-extensiones,0,0,0,0,0.0
03-fase-extensiones/EXT-003-notificaciones/README.md,03-fase-extensiones,0,1,0,0,0.0
03-fase-extensiones/EXT-003-notificaciones/_MAP.md,03-fase-extensiones,0,0,0,0,0.0
03-fase-extensiones/EXT-003-notificaciones/historias-usuario/US-NOT-001b-notification-center.md,03-fase-extensiones,0,8,0,0,0.0
03-fase-extensiones/EXT-003-notificaciones/historias-usuario/US-NOT-001a-websocket-infrastructure.md,03-fase-extensiones,0,16,0,0,0.0
03-fase-extensiones/EXT-003-notificaciones/historias-usuario/US-NOT-001c-preferences-management.md,03-fase-extensiones,0,8,0,0,0.0
03-fase-extensiones/EXT-005-reportes/README.md,03-fase-extensiones,0,1,0,0,0.0
03-fase-extensiones/EXT-005-reportes/_MAP.md,03-fase-extensiones,0,0,0,0,0.0
03-fase-extensiones/EXT-005-reportes/historias-usuario/US-REP-004-data-warehouse-etl.md,03-fase-extensiones,0,2,0,0,0.0
03-fase-extensiones/EXT-005-reportes/historias-usuario/US-REP-005-visualizaciones-avanzadas.md,03-fase-extensiones,0,0,0,0,0.0
03-fase-extensiones/EXT-005-reportes/historias-usuario/US-REP-003-analytics-predictivo.md,03-fase-extensiones,0,11,5,0,0.0
03-fase-extensiones/EXT-005-reportes/historias-usuario/US-REP-002-analytics-admin.md,03-fase-extensiones,0,1,6,0,0.0
03-fase-extensiones/EXT-005-reportes/historias-usuario/US-REP-001-analytics-profesor.md,03-fase-extensiones,0,0,1,0,0.0
03-fase-extensiones/EXT-006-contenido/README.md,03-fase-extensiones,0,1,0,0,0.0
03-fase-extensiones/EXT-006-contenido/_MAP.md,03-fase-extensiones,0,0,0,0,0.0
03-fase-extensiones/EXT-006-contenido/historias-usuario/US-CONT-005-import-export.md,03-fase-extensiones,0,2,0,0,0.0
03-fase-extensiones/EXT-006-contenido/historias-usuario/US-CONT-003-biblioteca-recursos.md,03-fase-extensiones,0,0,0,0,0.0
03-fase-extensiones/EXT-006-contenido/historias-usuario/US-CONT-004-versionamiento.md,03-fase-extensiones,0,0,0,0,0.0
03-fase-extensiones/EXT-006-contenido/historias-usuario/US-CONT-002-gestion-ejercicios.md,03-fase-extensiones,0,0,3,0,0.0
03-fase-extensiones/EXT-006-contenido/historias-usuario/US-CONT-001-editor-wysiwyg.md,03-fase-extensiones,0,1,0,0,0.0
03-fase-extensiones/EXT-009-peer-challenges/README.md,03-fase-extensiones,0,5,0,0,0.0
03-fase-extensiones/EXT-009-peer-challenges/_MAP.md,03-fase-extensiones,0,0,0,0,0.0
03-fase-extensiones/EXT-009-peer-challenges/historias-usuario/US-PEER-003-scoring-wagering.md,03-fase-extensiones,0,0,0,0,0.0
03-fase-extensiones/EXT-009-peer-challenges/historias-usuario/US-PEER-001-challenge-creation.md,03-fase-extensiones,0,0,0,0,0.0
03-fase-extensiones/EXT-009-peer-challenges/historias-usuario/US-PEER-002-challenge-execution.md,03-fase-extensiones,0,0,0,0,0.0
03-fase-extensiones/EXT-004-perfiles/README.md,03-fase-extensiones,0,1,0,0,0.0
03-fase-extensiones/EXT-004-perfiles/_MAP.md,03-fase-extensiones,0,0,0,0,0.0
03-fase-extensiones/EXT-004-perfiles/historias-usuario/US-PERF-004-interacciones-sociales.md,03-fase-extensiones,0,0,5,0,0.0
03-fase-extensiones/EXT-004-perfiles/historias-usuario/US-PERF-006-showcasing-logros.md,03-fase-extensiones,0,0,5,0,0.0
03-fase-extensiones/EXT-004-perfiles/historias-usuario/US-PERF-003-accesibilidad-gamificacion.md,03-fase-extensiones,0,1,4,0,0.0
03-fase-extensiones/EXT-004-perfiles/historias-usuario/US-PERF-001-personalizacion-perfil.md,03-fase-extensiones,0,1,4,0,0.0
03-fase-extensiones/EXT-004-perfiles/historias-usuario/US-PERF-002-seguridad-cuenta.md,03-fase-extensiones,0,1,4,0,0.0
03-fase-extensiones/EXT-004-perfiles/historias-usuario/US-PERF-005-personalizacion-dashboard.md,03-fase-extensiones,0,0,5,0,0.0
03-fase-extensiones/EXT-001-portal-maestros/README.md,03-fase-extensiones,0,1,0,0,0.0
03-fase-extensiones/EXT-001-portal-maestros/_MAP.md,03-fase-extensiones,0,16,0,0,0.0
03-fase-extensiones/EXT-001-portal-maestros/requerimientos/RF-TEACH-002-assignment-system.md,03-fase-extensiones,0,16,0,0,0.0
03-fase-extensiones/EXT-001-portal-maestros/historias-usuario/US-PM-003a-grading-queue.md,03-fase-extensiones,0,5,0,0,0.0
03-fase-extensiones/EXT-001-portal-maestros/historias-usuario/US-PM-003b-grading-interface.md,03-fase-extensiones,0,1,0,0,0.0
03-fase-extensiones/EXT-001-portal-maestros/historias-usuario/US-PM-001b-student-enrollment.md,03-fase-extensiones,0,1,0,0,0.0
03-fase-extensiones/EXT-001-portal-maestros/historias-usuario/US-PM-005c-engagement-metrics.md,03-fase-extensiones,0,3,0,0,0.0
03-fase-extensiones/EXT-001-portal-maestros/historias-usuario/US-PM-004b-teacher-notes.md,03-fase-extensiones,0,2,0,0,0.0
03-fase-extensiones/EXT-001-portal-maestros/historias-usuario/US-PM-005b-report-generation.md,03-fase-extensiones,0,1,0,0,0.0
03-fase-extensiones/EXT-001-portal-maestros/historias-usuario/US-PM-004a-progress-analytics.md,03-fase-extensiones,0,1,0,0,0.0
03-fase-extensiones/EXT-001-portal-maestros/historias-usuario/US-PM-002b-assignment-distribution.md,03-fase-extensiones,0,1,0,0,0.0
03-fase-extensiones/EXT-001-portal-maestros/historias-usuario/US-PM-005a-classroom-analytics.md,03-fase-extensiones,0,1,0,0,0.0
