Schema,Tabla,Frecuencia,Num Documentos
auth_management,profiles,19,19
auth,users,18,18
gamification_system,user_stats,17,17
educational_content,exercises,17,17
FULL,md,15,15
README,md,13,13
this,validateTeacherAccess,10,10
audit_logging,audit_logs,9,9
toast,error,9,9
gamification_system,achievements,8,8
JSON,stringify,8,8
toast,success,8,8
progress_tracking,exercise_attempts,7,7
educational_content,modules,7,7
Math,round,7,7
gamification_system,user_ranks,7,7
gamilit,now_mexico,6,6
social_features,classroom_members,6,6
Math,floor,6,6
social_features,classrooms,5,5
system_configuration,feature_flags,5,5
page,md,5,5
Promise,all,5,5
students,map,5,5
rejects,toThrow,5,5
usersRepository,findOne,5,5
social_features,schools,4,4
cron,schedule,4,4
gamilit,update_user_stats_on_exercise_complete,4,4
redis,get,4,4
auth_management,users,4,4
Math,min,4,4
auth_management,user_sessions,4,4
progress_tracking,module_progress,4,4
app,getHttpServer,4,4
Date,now,4,4
classroomRepository,findOne,4,4
modules,map,4,4
activities,map,4,4
gamification_system,user_achievements,4,4
gamification_system,comodines_inventory,4,4
gamification_system,comodin_type,4,4
apiClient,get,4,4
auth_management,tenants,3,3
service,ts,3,3
gamilit,get_current_user_id,3,3
gamilit,initialize_user_stats,3,3
gamilit,get_current_user_role,3,3
db,query,3,3
gamification_system,notifications,3,3
DOMPurify,sanitize,3,3
e,stopPropagation,3,3
gamification_system,ml_coins_transactions,3,3
system_configuration,system_settings,3,3
progress_tracking,exercise_submissions,3,3
redis,set,3,3
JSON,parse,3,3
expect,objectContaining,3,3
authService,login,3,3
classroomRepository,save,3,3
classroomService,getAssignedModules,3,3
query,andWhere,3,3
this,getStudentModuleProgress,3,3
classroomService,getStudents,3,3
Math,random,3,3
console,error,3,3
auth,uid,3,3
public,update_updated_at_column,3,3
user_stats,ml_coins,3,3
this,getModuleProgress,3,3
options,map,3,3
query,mockResolvedValue,3,3
jest,fn,3,3
exerciseRepo,findOne,3,3
activitiesService,submitAnswer,3,3
ExerciseRepository,findById,3,3
gamification_system,process_exercise_completion,3,3
social_features,team_challenges,2,2
social_features,teams,2,2
social_features,team_members,2,2
social_features,friendships,2,2
public,log_system_event,2,2
public,cleanup_old_user_activity,2,2
public,cleanup_old_system_logs,2,2
audit_logging,user_activity_logs,2,2
gamilit,is_admin,2,2
auth_management,gamilit_role,2,2
redis,setex,2,2
router,get,2,2
router,post,2,2
localStorage,setItem,2,2
jwt,verify,2,2
logger,error,2,2
gamification_system,badges,2,2
socket,on,2,2
rateLimiter,check,2,2
aprendizaje,md,2,2
TRACEABILITY,yml,2,2
Math,abs,2,2
Math,ceil,2,2
DATABASE_INVENTORY,csv,2,2
gamification_system,missions,2,2
context,getHandler,2,2
context,switchToHttp,2,2
auth_management,auth_providers,2,2
searchParams,get,2,2
auth_management,linked_providers,2,2
api,post,2,2
auth_management,verify_user_status,2,2
public,notifications,2,2
auth_management,suspend_user,2,2
auth_management,ban_user,2,2
audit_logging,log_status_change,2,2
auth_management,reactivate_user,2,2
notificationService,send,2,2
api,get,2,2
useAuthStore,getState,2,2
classrooms,map,2,2
averageProgress,toFixed,2,2
Object,assign,2,2
Array,from,2,2
query,getMany,2,2
students,push,2,2
this,getRecentActivities,2,2
students,filter,2,2
gamification_system,achievement_category,2,2
gamification_system,award_achievement_rewards,2,2
achievementService,getGallery,2,2
gamification_system,promote_to_next_rank,2,2
gamification_system,check_and_unlock_achievement,2,2
gamification_system,achievement_type,2,2
gamification_system,rank_history,2,2
achievements,find,2,2
gamification_system,maya_rank,2,2
gamification_system,comodin_usage_log,2,2
comodinService,use,2,2
gamification_system,comodin_usage_tracking,2,2
comodinService,purchase,2,2
user_stats,total_xp,2,2
coinsService,awardCoins,2,2
xpService,awardXP,2,2
modulesRepository,findOne,2,2
usersRepository,increment,2,2
activitiesRepository,findOne,2,2
Test,createTestingModule,2,2
auth,user_roles,2,2
expect,stringContaining,2,2
dataSource,query,2,2
exerciseService,submitAnswer,2,2
educational_content,exercise_mechanic,2,2
educational_content,exercise_templates,2,2
progress_tracking,cognitive_performance,2,2
profile,filter,2,2
cognitiveService,getCognitiveProfile,2,2
exercises,sql,2,2
weak_levels,map,2,2
profile,map,2,2
gamificationService,awardXP,2,2
gamificationService,awardCoins,2,2
AuthService,login,2,2
NEW,level,2,2
gamification_system,leaderboard_xp,2,2
information_schema,columns,2,2
us,current_level,2,2
gamification_system,powerup_usage_log,2,2
gamilit,initialize_user_missions,2,2
gamification_system,powerups,2,2
profiles,school_id,2,2
classrooms,school_id,1,1
schools,id,1,1
classrooms,id,1,1
social_features,cleanup_old_notifications,1,1
admin_dashboard,moderation_queue,1,1
admin_dashboard,recent_admin_actions,1,1
social_features,reported_users,1,1
content_management,flagged_content,1,1
admin_dashboard,organization_stats_summary,1,1
admin_dashboard,user_stats_summary,1,1
AchievementCard,tsx,1,1
gamilit,get_user_tenant_id,1,1
gamilit,update_classroom_member_count,1,1
gamilit,update_user_last_login,1,1
gamilit,update_updated_at_column,1,1
gamilit,validate_email_format,1,1
gamilit,is_teacher,1,1
gamilit,set_profile_defaults,1,1
gamification_system,check_and_award_achievements,1,1
gamilit,some_function,1,1
gamilit,audit_profile_changes,1,1
gamilit,is_super_admin,1,1
gamilit,log_error,1,1
gamification_system,calculate_level_from_xp,1,1
gamilit,validate_username,1,1
auth_management,user_roles,1,1
public,validate_date_range,1,1
public,send_notification,1,1
this,renderNewDashboard,1,1
audit_logging,system_logs,1,1
public,is_feature_enabled,1,1
this,renderLegacyDashboard,1,1
dateValidator,validateDateRange,1,1
featureFlags,isFeatureEnabled,1,1
gamification_system,notification_delivery_queue,1,1
public,update_feature_flag,1,1
content_management,media_files,1,1
this,getBucketName,1,1
educational_content,media_resources,1,1
React,lazy,1,1
